secid,date,ticker,low,high,open,close
108105,2018-03-09,SPX,2751.54,2786.57,2752.91,2786.57
108105,2018-03-12,SPX,2779.26,2796.98,2790.54,2783.02
108105,2018-03-13,SPX,2758.68,2801.9,2792.31,2765.31
108105,2018-03-14,SPX,2744.38,2777.11,2774.06,2749.48
108105,2018-03-15,SPX,2741.47,2763.03,2754.27,2747.33
108105,2018-03-16,SPX,2749.97,2761.85,2750.57,2752.01
108105,2018-03-19,SPX,2694.59,2741.38,2741.38,2712.92
108105,2018-03-20,SPX,2710.05,2724.22,2715.05,2716.94
108105,2018-03-21,SPX,2709.79,2739.14,2714.99,2711.93
108105,2018-03-22,SPX,2641.59,2695.68,2691.36,2643.69
108105,2018-03-23,SPX,2585.89,2657.67,2646.71,2588.26
108105,2018-03-26,SPX,2601.81,2661.36,2619.35,2658.55
108105,2018-03-27,SPX,2596.12,2674.78,2667.57,2612.62
108105,2018-03-28,SPX,2593.06,2632.65,2611.3,2605
108105,2018-03-29,SPX,2609.72,2659.07,2614.41,2640.87
108105,2018-04-02,SPX,2553.8,2638.3,2633.45,2581.88
108105,2018-04-03,SPX,2575.49,2619.14,2592.17,2614.45
108105,2018-04-04,SPX,2573.61,2649.86,2584.04,2644.69
108105,2018-04-05,SPX,2649.58,2672.08,2657.36,2662.84
108105,2018-04-06,SPX,2586.27,2656.88,2645.82,2604.47
108105,2018-04-09,SPX,2610.79,2653.55,2617.18,2613.16
108105,2018-04-10,SPX,2635.78,2665.45,2638.41,2656.87
108105,2018-04-11,SPX,2639.25,2661.43,2643.89,2642.19
108105,2018-04-12,SPX,2653.83,2674.72,2653.83,2663.99
108105,2018-04-13,SPX,2645.05,2680.26,2676.9,2656.3
108105,2018-04-16,SPX,2665.16,2686.49,2670.1,2677.84
108105,2018-04-17,SPX,2692.05,2713.34,2692.74,2706.39
108105,2018-04-18,SPX,2703.63,2717.49,2710.11,2708.64
108105,2018-04-19,SPX,2681.9,2702.84,2701.16,2693.13
108105,2018-04-20,SPX,2660.61,2693.94,2692.56,2670.14
108105,2018-04-23,SPX,2657.99,2682.86,2675.4,2670.29
108105,2018-04-24,SPX,2617.32,2683.55,2680.8,2634.56
108105,2018-04-25,SPX,2612.67,2645.3,2634.92,2639.4
108105,2018-04-26,SPX,2647.16,2676.48,2651.65,2666.94
108105,2018-04-27,SPX,2659.01,2677.35,2675.47,2669.91
108105,2018-04-30,SPX,2648.04,2682.92,2675.05,2648.05
108105,2018-05-01,SPX,2625.41,2655.27,2643.64,2654.8
108105,2018-05-02,SPX,2631.7,2660.87,2654.24,2635.67
108105,2018-05-03,SPX,2594.62,2637.14,2628.08,2629.73
108105,2018-05-04,SPX,2615.32,2670.93,2621.45,2663.42
108105,2018-05-07,SPX,2664.7,2683.35,2669.36,2672.63
108105,2018-05-08,SPX,2655.2,2676.34,2670.26,2671.92
108105,2018-05-09,SPX,2674.14,2701.27,2678.12,2697.79
108105,2018-05-10,SPX,2704.54,2726.11,2705.02,2723.07
108105,2018-05-11,SPX,2717.45,2732.86,2722.7,2727.72
108105,2018-05-14,SPX,2725.47,2742.1,2733.37,2730.13
108105,2018-05-15,SPX,2701.91,2718.59,2718.59,2711.45
108105,2018-05-16,SPX,2712.17,2727.76,2712.24,2722.46
108105,2018-05-17,SPX,2711.36,2731.96,2719.71,2720.13
108105,2018-05-18,SPX,2709.18,2719.5,2717.35,2712.97
108105,2018-05-21,SPX,2725.7,2739.19,2725.95,2733.01
108105,2018-05-22,SPX,2721.88,2742.24,2738.34,2724.44
108105,2018-05-23,SPX,2709.54,2733.33,2713.98,2733.29
108105,2018-05-24,SPX,2707.38,2731.97,2730.94,2727.76
108105,2018-05-25,SPX,2714.99,2727.36,2723.6,2721.33
108105,2018-05-29,SPX,2676.81,2710.67,2705.11,2689.86
108105,2018-05-30,SPX,2702.43,2729.34,2702.43,2724.01
108105,2018-05-31,SPX,2700.68,2722.5,2720.98,2705.27
108105,2018-06-01,SPX,2718.7,2736.93,2718.7,2734.62
108105,2018-06-04,SPX,2740.54,2749.16,2741.67,2746.87
108105,2018-06-05,SPX,2739.51,2752.61,2748.46,2748.8
108105,2018-06-06,SPX,2748.46,2772.39,2753.25,2772.35
108105,2018-06-07,SPX,2760.16,2779.9,2775.01,2770.37
108105,2018-06-08,SPX,2763.59,2779.39,2765.84,2779.03
108105,2018-06-11,SPX,2780.17,2790.21,2780.18,2782
108105,2018-06-12,SPX,2778.78,2789.8,2785.6,2786.85
108105,2018-06-13,SPX,2774.65,2791.47,2787.94,2775.63
108105,2018-06-14,SPX,2776.52,2789.06,2783.21,2782.49
